"startNodeId","endNodeId","relationshipType","allProperties"
"438","10438","OWNS","{}"
"439","10439","OWNS","{}"
"440","10440","OWNS","{}"
"441","10441","OWNS","{}"
"442","13289","OWNS","{}"
"2643","10443","OWNS","{}"
"444","10444","OWNS","{}"
"445","13219","OWNS","{}"
"423","10446","OWNS","{}"
"1289","10447","OWNS","{}"
"448","10448","OWNS","{}"
"3057","10449","OWNS","{}"
"450","10450","OWNS","{}"
"451","10451","OWNS","{}"
"452","10452","OWNS","{}"
"453","10453","OWNS","{}"
"454","10454","OWNS","{}"
"455","10455","OWNS","{}"
"456","10456","OWNS","{}"
"457","10457","OWNS","{}"
"458","10458","OWNS","{}"
"459","10459","OWNS","{}"
"460","10460","OWNS","{}"
"461","10461","OWNS","{}"
"462","10462","OWNS","{}"
"2506","10463","OWNS","{}"
"464","10464","OWNS","{}"
"465","10465","OWNS","{}"
"467","10466","OWNS","{}"
"63","10467","OWNS","{}"
"469","10468","OWNS","{}"
"470","10469","OWNS","{}"
"471","10470","OWNS","{}"
"472","10471","OWNS","{}"
"473","10472","OWNS","{}"
"474","10473","OWNS","{}"
"475","10474","OWNS","{}"
"476","10475","OWNS","{}"
"8018","10476","OWNS","{}"
"478","10477","OWNS","{}"
"479","10478","OWNS","{}"
"480","10479","OWNS","{}"
"481","10480","OWNS","{}"
"482","10481","OWNS","{}"
"483","10482","OWNS","{}"
"484","10483","OWNS","{}"
"250","10484","OWNS","{}"
"486","10485","OWNS","{}"
"487","10486","OWNS","{}"
"488","10487","OWNS","{}"
"489","10488","OWNS","{}"
"490","10489","OWNS","{}"
"491","10490","OWNS","{}"
"492","10491","OWNS","{}"
"493","10492","OWNS","{}"
"5837","10493","OWNS","{}"
"3542","10494","OWNS","{}"
"496","10495","OWNS","{}"
"497","10496","OWNS","{}"
"498","10497","OWNS","{}"
"499","10498","OWNS","{}"
"61","10499","OWNS","{}"
"501","10500","OWNS","{}"
"502","10501","OWNS","{}"
"503","10502","OWNS","{}"
"504","10503","OWNS","{}"
"505","10504","OWNS","{}"
"506","10505","OWNS","{}"
"141","10506","OWNS","{}"
"298","10507","OWNS","{}"
"509","10508","OWNS","{}"
"3575","10509","OWNS","{}"
"511","10510","OWNS","{}"
"512","10511","OWNS","{}"
"469","10512","OWNS","{}"
"514","10513","OWNS","{}"
"516","10515","OWNS","{}"
"517","10516","OWNS","{}"
"518","10517","OWNS","{}"
"519","10518","OWNS","{}"
"520","10519","OWNS","{}"
"521","10520","OWNS","{}"
"522","10521","OWNS","{}"
"523","10522","OWNS","{}"
"524","10523","OWNS","{}"
"404","10524","OWNS","{}"
"526","10525","OWNS","{}"
"472","10526","OWNS","{}"
"528","10527","OWNS","{}"
"529","10528","OWNS","{}"
"214","10529","OWNS","{}"
"531","10530","OWNS","{}"
"532","10531","OWNS","{}"
"533","10532","OWNS","{}"
"534","10533","OWNS","{}"
"374","10534","OWNS","{}"
"536","10535","OWNS","{}"
"537","10536","OWNS","{}"
"406","10537","OWNS","{}"
"117","10538","OWNS","{}"
"540","10539","OWNS","{}"
"541","10540","OWNS","{}"
"542","10541","OWNS","{}"
"543","10542","OWNS","{}"
"544","10543","OWNS","{}"
"545","10544","OWNS","{}"
"546","10545","OWNS","{}"
"547","10546","OWNS","{}"
"548","16658","OWNS","{}"
"4114","10548","OWNS","{}"
"457","10549","OWNS","{}"
"6604","10550","OWNS","{}"
"552","10551","OWNS","{}"
"553","10552","OWNS","{}"
"4162","10553","OWNS","{}"
"555","10554","OWNS","{}"
"556","10555","OWNS","{}"
"557","10556","OWNS","{}"
"558","10557","OWNS","{}"
"258","10558","OWNS","{}"
"560","10559","OWNS","{}"
"561","10560","OWNS","{}"
"562","10561","OWNS","{}"
"563","10562","OWNS","{}"
"564","10563","OWNS","{}"
"565","10564","OWNS","{}"
"7755","10565","OWNS","{}"
"567","10566","OWNS","{}"
"568","10567","OWNS","{}"
"569","10568","OWNS","{}"
"570","10569","OWNS","{}"
"571","10570","OWNS","{}"
"572","10571","OWNS","{}"
"573","10572","OWNS","{}"
"574","10573","OWNS","{}"
"575","10574","OWNS","{}"
"576","10575","OWNS","{}"
"577","10576","OWNS","{}"
"578","10577","OWNS","{}"
"579","10578","OWNS","{}"
"580","10579","OWNS","{}"
"581","10580","OWNS","{}"
"582","10581","OWNS","{}"
"143","10582","OWNS","{}"
"584","10583","OWNS","{}"
"585","10584","OWNS","{}"
"586","10585","OWNS","{}"
"587","10586","OWNS","{}"
"589","10588","OWNS","{}"
"590","10589","OWNS","{}"
"591","10590","OWNS","{}"
"592","10591","OWNS","{}"
"593","10592","OWNS","{}"
"594","10593","OWNS","{}"
"595","10594","OWNS","{}"
"9656","10595","OWNS","{}"
"597","10596","OWNS","{}"
"598","10597","OWNS","{}"
"599","10598","OWNS","{}"
"600","10599","OWNS","{}"
"601","10600","OWNS","{}"
"602","10601","OWNS","{}"
"604","10603","OWNS","{}"
"605","10604","OWNS","{}"
"606","10605","OWNS","{}"
"607","10606","OWNS","{}"
"608","10607","OWNS","{}"
"609","10608","OWNS","{}"
"51","10609","OWNS","{}"
"612","10611","OWNS","{}"
"613","10612","OWNS","{}"
"614","10613","OWNS","{}"
"858","10614","OWNS","{}"
"616","10615","OWNS","{}"
"617","10616","OWNS","{}"
"618","10617","OWNS","{}"
"619","10618","OWNS","{}"
"620","10619","OWNS","{}"
"621","10620","OWNS","{}"
"622","10621","OWNS","{}"
"623","10622","OWNS","{}"
"624","10623","OWNS","{}"
"625","10624","OWNS","{}"
"599","10625","OWNS","{}"
"627","10626","OWNS","{}"
"6866","10627","OWNS","{}"
"502","10628","OWNS","{}"
"630","10629","OWNS","{}"
"632","10631","OWNS","{}"
"6847","10632","OWNS","{}"
"634","10633","OWNS","{}"
"635","10634","OWNS","{}"
"636","10635","OWNS","{}"
"637","10636","OWNS","{}"
"232","10637","OWNS","{}"
"238","10638","OWNS","{}"
"640","10639","OWNS","{}"
"641","10640","OWNS","{}"
"642","10641","OWNS","{}"
"643","10642","OWNS","{}"
"2347","10643","OWNS","{}"
"645","10644","OWNS","{}"
"155","10646","OWNS","{}"
"163","10647","OWNS","{}"
"3732","10648","OWNS","{}"
"650","10649","OWNS","{}"
"167","10650","OWNS","{}"
"652","10651","OWNS","{}"
"544","10652","OWNS","{}"
"654","10653","OWNS","{}"
"655","10654","OWNS","{}"
"656","10655","OWNS","{}"
"9112","10656","OWNS","{}"
"67","10657","OWNS","{}"
"659","10658","OWNS","{}"
"660","10659","OWNS","{}"
"662","14073","OWNS","{}"
"663","10662","OWNS","{}"
"665","10664","OWNS","{}"
"4162","10665","OWNS","{}"
"242","10666","OWNS","{}"
"545","10667","OWNS","{}"
"669","10668","OWNS","{}"
"670","10669","OWNS","{}"
"671","10670","OWNS","{}"
"672","10671","OWNS","{}"
"5256","10672","OWNS","{}"
"674","10673","OWNS","{}"
"76","10674","OWNS","{}"
"676","10675","OWNS","{}"
"677","10676","OWNS","{}"
"678","10677","OWNS","{}"
"679","10678","OWNS","{}"
"617","10679","OWNS","{}"
"681","10680","OWNS","{}"
"682","10681","OWNS","{}"
"8192","10682","OWNS","{}"
"684","10683","OWNS","{}"
"685","10684","OWNS","{}"
"686","10685","OWNS","{}"
"687","10686","OWNS","{}"
"688","10687","OWNS","{}"
"689","10688","OWNS","{}"
"690","10689","OWNS","{}"
"396","10690","OWNS","{}"
"692","10691","OWNS","{}"
"693","10692","OWNS","{}"
"694","10693","OWNS","{}"
"695","10694","OWNS","{}"
"9904","10695","OWNS","{}"
"698","10697","OWNS","{}"
"7197","10698","OWNS","{}"
"7972","10699","OWNS","{}"
"324","10700","OWNS","{}"
"702","10701","OWNS","{}"
"703","10702","OWNS","{}"
"704","10703","OWNS","{}"
"672","10704","OWNS","{}"
"425","10705","OWNS","{}"
"2925","10706","OWNS","{}"
"708","10707","OWNS","{}"
"501","10708","OWNS","{}"
"710","10709","OWNS","{}"
"711","10710","OWNS","{}"
"713","10712","OWNS","{}"
"714","10713","OWNS","{}"
"421","10714","OWNS","{}"
"716","10715","OWNS","{}"
"717","10716","OWNS","{}"
"718","10717","OWNS","{}"
"2727","10718","OWNS","{}"
"720","10719","OWNS","{}"
"5088","10720","OWNS","{}"
"722","10721","OWNS","{}"
"723","10722","OWNS","{}"
"199","10723","OWNS","{}"
"1325","10725","OWNS","{}"
"727","10726","OWNS","{}"
"728","10727","OWNS","{}"
"729","10728","OWNS","{}"
"730","10729","OWNS","{}"
"731","10730","OWNS","{}"
"732","10731","OWNS","{}"
"662","10732","OWNS","{}"
"734","10733","OWNS","{}"
"735","10734","OWNS","{}"
"736","10735","OWNS","{}"
"737","10736","OWNS","{}"
"738","10737","OWNS","{}"
"167","10738","OWNS","{}"
"603","10739","OWNS","{}"
"741","10740","OWNS","{}"
"742","10741","OWNS","{}"
"743","10742","OWNS","{}"
"744","10743","OWNS","{}"
"745","10744","OWNS","{}"
"746","10745","OWNS","{}"
"747","10746","OWNS","{}"
"748","10747","OWNS","{}"
"749","10748","OWNS","{}"
"750","10749","OWNS","{}"
"427","10750","OWNS","{}"
"752","10751","OWNS","{}"
"753","10752","OWNS","{}"
"754","10753","OWNS","{}"
"755","10754","OWNS","{}"
"756","10755","OWNS","{}"
"757","10756","OWNS","{}"
"758","10757","OWNS","{}"
"759","10758","OWNS","{}"
"760","10759","OWNS","{}"
"4619","10760","OWNS","{}"
"762","10761","OWNS","{}"
"763","10762","OWNS","{}"
"372","10763","OWNS","{}"
"765","10764","OWNS","{}"
"766","10765","OWNS","{}"
"767","10766","OWNS","{}"
"768","10767","OWNS","{}"
"336","10768","OWNS","{}"
"770","10769","OWNS","{}"
"771","10770","OWNS","{}"
"772","10771","OWNS","{}"
"47","10772","OWNS","{}"
"475","10773","OWNS","{}"
"373","10774","OWNS","{}"
"776","10775","OWNS","{}"
"777","10776","OWNS","{}"
"778","10777","OWNS","{}"
"413","10778","OWNS","{}"
"780","10779","OWNS","{}"
"781","10780","OWNS","{}"
"782","10781","OWNS","{}"
"783","10782","OWNS","{}"
"784","10783","OWNS","{}"
"29","10784","OWNS","{}"
"786","10785","OWNS","{}"
"787","10786","OWNS","{}"
"788","10787","OWNS","{}"
"789","10788","OWNS","{}"
"790","10789","OWNS","{}"
"791","10790","OWNS","{}"
"792","10791","OWNS","{}"
"793","10792","OWNS","{}"
"6955","10793","OWNS","{}"
"795","10794","OWNS","{}"
"796","10795","OWNS","{}"
"797","10796","OWNS","{}"
"798","10797","OWNS","{}"
"4091","10798","OWNS","{}"
"1107","10799","OWNS","{}"
"801","10800","OWNS","{}"
"384","10801","OWNS","{}"
"803","10802","OWNS","{}"
"203","10803","OWNS","{}"
"805","10804","OWNS","{}"
"807","10806","OWNS","{}"
"9401","10807","OWNS","{}"
"295","10808","OWNS","{}"
"810","10809","OWNS","{}"
"811","10810","OWNS","{}"
"3600","10811","OWNS","{}"
"565","10812","OWNS","{}"
"814","10813","OWNS","{}"
"7219","10814","OWNS","{}"
"816","10815","OWNS","{}"
"817","10816","OWNS","{}"
"818","10817","OWNS","{}"
"819","10818","OWNS","{}"
"820","10819","OWNS","{}"
"821","10820","OWNS","{}"
"822","10821","OWNS","{}"
"823","10822","OWNS","{}"
"5683","10823","OWNS","{}"
"4827","10824","OWNS","{}"
"826","10825","OWNS","{}"
"827","10826","OWNS","{}"
"828","10827","OWNS","{}"
"7","10828","OWNS","{}"
"723","10829","OWNS","{}"
"546","12933","OWNS","{}"
"832","10831","OWNS","{}"
"833","10832","OWNS","{}"
"834","10833","OWNS","{}"
"835","10834","OWNS","{}"
"117","10835","OWNS","{}"
"837","10836","OWNS","{}"
"838","10837","OWNS","{}"
"839","10838","OWNS","{}"
"126","10839","OWNS","{}"
"841","10840","OWNS","{}"
"842","10841","OWNS","{}"
"843","10842","OWNS","{}"
"844","10843","OWNS","{}"
"632","10844","OWNS","{}"
"846","10845","OWNS","{}"
"847","10846","OWNS","{}"
"848","10847","OWNS","{}"
"849","10848","OWNS","{}"
"850","10849","OWNS","{}"
"851","10850","OWNS","{}"
"852","10851","OWNS","{}"
"109","10852","OWNS","{}"
"8776","10853","OWNS","{}"
"3732","10854","OWNS","{}"
"856","10855","OWNS","{}"
"857","10856","OWNS","{}"
"858","10857","OWNS","{}"
"859","10858","OWNS","{}"
"384","10859","OWNS","{}"
"519","10860","OWNS","{}"
"862","10861","OWNS","{}"
"2274","10862","OWNS","{}"
"864","10863","OWNS","{}"
"565","10864","OWNS","{}"
"46","10865","OWNS","{}"
"868","10867","OWNS","{}"
"1","10868","OWNS","{}"
"30","10869","OWNS","{}"
"871","10870","OWNS","{}"
